fold,phase,epoch,phase_epoch,train_loss,train_img_acc,val_loss,val_accuracy,val_macro_f1,val_stone_accuracy,val_stone_macro_f1,val_stone_f1_CaOx,val_stone_f1_CHP,val_stone_f1_UA,val_stone_f1_MAP,val_stone_f1_CYS,seconds
0,finetune,10,5,1.2028540267944337,0.472,1.3684836753509328,0.46540880503144655,0.3296334042447929,0.49056603773584906,0.34542346542346536,0.7692307692307693,0.18181818181818182,0.2222222222222222,0.15384615384615385,0.4,94.5
0,finetune,11,6,1.1547648990631103,0.4864,1.3078789538557425,0.48427672955974843,0.36823888352019024,0.4716981132075472,0.3530498866213152,0.7346938775510204,0.1,0.375,0.2222222222222222,0.3333333333333333,95.0
0,finetune,12,7,1.1018016284942627,0.5328,1.2636441622140273,0.5283018867924528,0.4120921514321802,0.5283018867924528,0.41295918367346934,0.7755102040816326,0.2,0.42857142857142855,0.2857142857142857,0.375,94.5
0,finetune,13,8,1.112966826248169,0.5088,1.2342207529259928,0.5283018867924528,0.40919540229885054,0.5471698113207547,0.4289532277148377,0.7843137254901961,0.10526315789473684,0.5714285714285714,0.2222222222222222,0.46153846153846156,94.5
0,finetune,14,9,1.1251102390289307,0.5024,1.2533369454197913,0.5283018867924528,0.4484858975664393,0.5471698113207547,0.47757575757575754,0.7272727272727273,0.4,0.5333333333333333,0.18181818181818182,0.5454545454545454,94.8
0,finetune,15,10,1.0219870920181275,0.52,1.1850759533216368,0.5786163522012578,0.48031876464615164,0.6415094339622641,0.5432347794049922,0.7659574468085106,0.6428571428571429,0.5454545454545454,0.3333333333333333,0.42857142857142855,94.3
0,finetune,16,11,0.998867697429657,0.5616,1.1656423177359239,0.5786163522012578,0.4844357360570509,0.6226415094339622,0.5443746729461015,0.7346938775510204,0.5384615384615384,0.5,0.3333333333333333,0.6153846153846154,94.6
0,finetune,17,12,1.0080353929519654,0.5712,1.1946409026031974,0.6037735849056604,0.49266517186299386,0.6226415094339622,0.5332698729841587,0.7755102040816326,0.48,0.6153846153846154,0.25,0.5454545454545454,95.0
0,finetune,18,13,0.8818669565200805,0.5584,1.1746019199959137,0.6352201257861635,0.5349681830177186,0.660377358490566,0.561615029850324,0.7843137254901961,0.5925925925925926,0.6,0.2857142857142857,0.5454545454545454,94.2
0,finetune,19,14,0.8986851112365722,0.5728,1.144381177500359,0.5849056603773585,0.4923909612871825,0.5660377358490566,0.474260522086609,0.7307692307692307,0.34782608695652173,0.46153846153846156,0.2857142857142857,0.5454545454545454,95.5
0,finetune,20,15,0.9013539190292359,0.5776,1.1598583227433499,0.5849056603773585,0.48680456703037345,0.6037735849056604,0.5158528138528139,0.76,0.4166666666666667,0.5714285714285714,0.2857142857142857,0.5454545454545454,94.8
0,finetune,21,16,0.8593507939338684,0.592,1.1393994775208287,0.6289308176100629,0.5380490773088262,0.6981132075471698,0.6228354978354977,0.7916666666666666,0.6428571428571429,0.7272727272727273,0.2857142857142857,0.6666666666666666,94.6
0,finetune,22,17,0.8272830425262451,0.6256,1.1303475585373692,0.6163522012578616,0.5316961103718321,0.7358490566037735,0.6478147939017503,0.8260869565217391,0.7333333333333333,0.7272727272727273,0.2857142857142857,0.6666666666666666,94.8
0,finetune,23,18,0.8304395895004273,0.6032,1.2332688097683888,0.6352201257861635,0.5264817579310991,0.6981132075471698,0.6067405582922824,0.7916666666666666,0.6896551724137931,0.6,0.2857142857142857,0.6666666666666666,94.3
0,finetune,24,19,0.8752695960998536,0.6096,1.1283394600610313,0.6289308176100629,0.5248603280671824,0.660377358490566,0.5866038723181579,0.7755102040816326,0.5384615384615384,0.6666666666666666,0.2857142857142857,0.6666666666666666,94.8
