stone_id,mean_std_per_class,std_CaOx,std_CHP,std_UA,std_MAP,std_CYS,std_OTH
S140,0.14085151502481535,0.2981139411706977,0.14530693516572696,0.027798189323792657,0.023751706331809872,0.3451041332182237,0.005034184938641152
S141,0.06054672958659171,0.15676514216216977,0.03300879560377107,0.04569160042677269,0.006078503785208243,0.12078897002367495,0.0009473655179535481
S142,0.028525925910804658,0.07466408704824203,0.0678541164130295,0.018302525491851226,0.008832087665250971,0.00038443372288020524,0.0011183051235739597
S143,0.1085141461954886,0.25400410433012843,0.2813536728052044,0.052927166493868937,0.03789438378278952,0.021854805307158404,0.0030507444537818786
S144,0.10236947015858057,0.24357531702281923,0.17755375327773767,0.15920603570380332,0.03347708985072876,7.626886731692875e-05,0.00032835622907757703
S145,0.04550392604858733,0.13649383861407083,0.06979174896263664,0.043119625140315684,0.016132172663130228,0.0017886391182203535,0.005697531793150249
S146,0.054896124583089505,0.15312491293931776,0.12155555806943392,0.03484088668244324,0.015605822575240463,0.00019860816730170967,0.004050959064799901
S147,0.043045562481535876,0.043464655183193555,0.11202744030843427,0.0020295986917825597,0.09959570636779935,7.342216209341054e-05,0.0010825521759121172
S148,0.01663180072932939,0.038919015771713576,0.04924973164937634,0.003591408397888316,0.00011555360310862238,0.007603610196606307,0.0003114847572831763
S149,0.006256969114719059,0.0166454556020887,0.01683380879785374,0.003882444023846185,5.50495309811697e-05,2.9780698460763205e-05,9.52760350837998e-05
S15,0.0017617303639372018,0.005175598082520391,0.004676164624152823,0.0004688220188462807,7.831521663302711e-05,5.271678716144245e-05,0.00011876545430924683
S150,0.11603146848546275,0.3463801512712402,0.12109623468218829,0.0023909318030778583,0.22434058441380858,0.0006645295605503804,0.001316379181911218
S151,0.013421446710301746,0.030740321834564405,0.020041032233740656,0.008375472822910379,0.019795545271180697,0.0006715207808813327,0.0009047873185330285
S152,0.007762748530252454,0.02294792030263444,0.015779342214092468,0.004502113204123709,0.0009598151476508328,0.0004861593147843375,0.0019011409982289415
S153,0.08733324221693116,0.24021973559692147,0.11868324756372427,0.13316294163550585,0.013676783660994462,0.008194211113139366,0.010062533731301507
S154,0.029289208215464994,0.08765855340197747,0.06057375556121759,0.020611369206867448,0.0003463764804827987,0.003625340805560445,0.0029198538366841877
S155,0.021020059904257555,0.03380659484743921,0.04080154405201668,0.0005487263497936788,0.034267028753428345,0.000801330619004034,0.015895134803863384
S156,0.03792650691991938,0.03117803541802003,0.08689136426213898,0.002406720731933708,0.10287764028729914,0.00010959684518983141,0.004095683974934618
S157,0.06804198958931672,0.07388688398272412,0.15397458572674697,0.029556292802101376,0.11457381881790715,0.03034867815171895,0.005911678054701745
S16,0.04541843700519529,0.10698387344914,0.059152692373805986,0.07856099996019542,0.024566397543220722,0.0014958551568148707,0.0017508035479947461
S160,0.10024427458523723,0.2923914486996089,0.13587434743711407,0.0934151369909876,0.003156128835375557,0.07504958530546595,0.0015790002428714286
S161,0.01785110190349508,0.041285476972943484,0.02163156233618336,0.044063709455755176,4.003456329301526e-05,1.4544552659044667e-05,7.128354013638198e-05
S162,0.022128363520366238,0.06561382146366994,0.02181009654341173,0.04449875055469644,0.0002931889651200031,0.00011196711222473678,0.00044235648307455326
S164,0.08241661830269693,0.234189220843202,0.07238602119343722,0.14549935725395377,0.0012147953802376375,0.025748703575940793,0.015461611569410165
S165,0.018020805710567248,0.05158828888079306,0.007681460296522154,0.01074634165717784,0.0037345538149276825,0.02875590474646145,0.005618284867521305
S166,0.03989508867445336,0.04620966583538396,0.06545373320997619,0.043837447346547785,0.008896606804515358,0.06125629483946936,0.013716784010827519
S167,0.06994697255040973,0.13061716774428053,0.04452232423779617,0.030537447017834674,0.19490078409860664,0.0009009631717017681,0.018203149032238648
S169,0.0648581470494012,0.16105767515926303,0.051217864563484324,0.020097477109489593,0.13342432456811118,0.011543534777602154,0.01180800611845691
S17,0.004185745622199964,0.01105146113488519,0.0062356895307471615,0.007031175845713931,3.999718115392421e-06,6.935754430911818e-05,0.0007227899594289888
S172,0.1363021868982708,0.17219509224524457,0.09374251159910069,0.3726447251523531,0.0012782672518470378,0.16810107509345734,0.009851450047622171
S173,0.05801329661501257,0.1689078771455957,0.17270943047069304,0.005279896142282018,0.000182315029408086,3.7036681234267143e-06,0.0009965572339731812
S174,0.043042923229133334,0.10999142887421212,0.12431764621500721,0.014044163460139467,0.0008483750350377538,0.0008373626533724936,0.008218563137030977
S175,0.04898906310010576,0.13742291760310824,0.015580326025084268,0.14025317420986627,0.0003727769616727373,1.312822026372485e-05,0.0002920555806393194
S176,0.07214847748770202,0.05441375844585686,0.1473368322324281,0.02306909810378129,0.06477286481236065,0.14285759837049458,0.0004407129612905293
S18,0.029271364748208965,0.08654936322674504,0.07812841393739947,0.0035436783951909878,0.0033249822264968627,1.7501125642664252e-05,0.004064249577778782
S180,0.031196365247524272,0.03609860716218669,0.07922761422064221,0.003058328933456958,0.01361608336920791,0.05443217543141783,0.0007453823682340033
S181,0.03195639214681088,0.05285669018678848,0.03427418591189091,0.008534104001154886,0.061895629294899675,0.027132547324712646,0.007045196161418679
S182,0.004500494205797748,0.003562003926627139,0.009230724251272538,0.005657052616683581,0.008551919003123134,8.075902683036124e-07,4.57846811790038e-07
S183,0.02139109284928298,0.02498319026316641,0.044667077636665886,0.03795785720335597,0.013990073281829985,0.002012089518604828,0.004736269192074824
S185,0.01403797288052975,0.041561069027166546,0.015008148251221766,0.0233941045102906,0.002656778215397384,0.0009796652886092053,0.0006280719904930116
S186,0.01828588081132074,0.052877614274431925,0.03394100594348019,0.010885979389914167,0.01173103472330302,5.287538612166091e-05,0.00022677515067346751
S187,0.01251216152355835,0.03750020761219547,0.032750252216625184,0.0010296580579075352,0.0002675786035743514,2.4789778819953217e-05,0.0035004828722276205
S189,0.06296234956873482,0.18141277599317798,0.023211835545458387,0.1550081176362375,0.0025706533167300784,0.012707296749050818,0.0028634181717541807
S190,0.07154320921354816,0.07500340409193124,0.14577459226743414,0.1969507087768292,0.0033325155974080365,0.007311112882863054,0.0008869216648232981
S191,0.08212561718133211,0.15213783720883714,0.08715123610515081,0.0063731962394555745,0.0005532735564152614,0.2446628559451057,0.0018753040330281696
S192,0.03932571657635666,0.033336200297815304,0.07284867089635633,0.04049323024225561,0.0009694554853468956,0.08544169012089715,0.0028650524154687227
S193,0.03185552369792254,0.029900839130970837,0.04275990214595837,0.015153432606321692,0.021101617739299194,0.07651656070895706,0.005700789856028113
S194,0.05145863029282566,0.11749042226454198,0.09741225621843153,0.03208021865627403,0.045876227941243464,0.012243696719094803,0.0036489599573681555
S195,0.054799492694607314,0.02805392638809859,0.15643908581754157,0.000937005587939839,0.14215064543368391,3.346551092725215e-05,0.0011828274294527574
S196,0.08070914907501765,0.05300692187645541,0.16494280750179707,0.0520935415390234,0.06530266133330867,0.14377535963994903,0.005133602559572328
S197,0.09995652413000206,0.18087478525952308,0.07370326513817288,0.010758951437308331,0.03285990996341808,0.2993751101972413,0.0021671227843486525
S198,0.06852129891095043,0.04156166055655725,0.07770588263392433,0.06838553845412476,0.013904033123118978,0.2012627938030737,0.008307884894903658
S199,0.04587008823494299,0.044138182636718634,0.024506932806437377,0.06250217369113087,0.008130281739906079,0.13446329190934786,0.0014796666261171713
S2,0.03862168667498284,0.10620388502564089,0.08840581609850064,0.011913498980211283,0.0037081550855422194,0.0023340862389139897,0.019164678621088012
S20,0.12012129111818463,0.35713107954920803,0.17376194311665336,0.0008575131804024987,0.17822691757985804,0.00020957034097281464,0.01054072294201312
S201,0.0010440115438129637,0.003073582552244956,0.0028780747536608525,0.0002129911103667803,8.179887407035378e-05,2.529443665790996e-06,1.5092528869048914e-05
S202,0.013441842558699372,0.037517312269092086,0.02506456706852386,0.013241669557824938,0.000934865886362866,0.00012606759942240185,0.0037665729709700784
