stone_id,mean_std_per_class,std_CaOx,std_CHP,std_UA,std_MAP,std_CYS,std_OTH
S147,0.05498522946867582,0.06395446817569408,0.15877382486285488,0.03067659594211425,0.029418596440147615,0.021605921693222764,0.02548196969802129
S148,0.030716651032320966,0.03255828702662175,0.07340325330499861,0.04914490934533041,0.010337992487976691,0.008823793758590657,0.01003167027040766
S149,0.04248750185150068,0.11065061636103747,0.06167261428953229,0.048040943159453516,0.009255459988865828,0.004620219925200768,0.020685157384914242
S15,0.003725553314549868,0.00867534397513257,0.008784193936796964,0.001019227236712712,0.00022490012020156451,5.424098749212733e-05,0.003595413630963267
S150,0.05572311362832324,0.15683684824374064,0.1333870129862755,0.00743079236183725,0.018974581119729717,0.009632298430791428,0.00807714862756487
S151,0.012545923195336551,0.02759829751716791,0.016845276930437542,0.02583136636693592,9.493104094906992e-05,0.0010894266660315425,0.003816240650497325
S152,0.017697570271041015,0.05110412563431288,0.035527298497149,0.01608954578770767,0.00017750402604423422,0.00019143327616145852,0.003095514404870845
S153,0.02021818526004577,0.012771382482940692,0.04742485213572964,0.04573921309418835,0.0019090252902198494,0.002164624065516358,0.01130001449167973
S154,0.006080340874212248,0.012059174792194555,0.01537728222302842,0.008090511153646307,4.6557231395185126e-05,0.00016739746482246116,0.0007411223801865662
S155,0.057201219581077545,0.14193648444618656,0.11472402754167743,0.00857683129620707,0.049700003615983264,0.001104010914943093,0.02716595967146786
S156,0.04560297602867527,0.018182755538034015,0.13090572131387238,0.007085319547207059,0.1120792240473807,0.0016986249028561166,0.0036662108227012782
S157,0.07115218050859223,0.03973418045184474,0.1577784120211737,0.0531472520155721,0.10996364434746672,0.051689509265955995,0.014600084949540204
S16,0.07978536817484426,0.23869420689633933,0.08619878617667519,0.12034077349704357,0.008086399359188243,0.010373423539645451,0.015018619580173807
S160,0.09903078047630254,0.26080487396313445,0.09395018681186415,0.07071082433940934,0.036996091639815626,0.1288477407666789,0.002874965336912648
S161,0.018811854473682933,0.033765117345463946,0.04797447561483649,0.02204443978011392,0.00026774150942497166,0.00022884822984804934,0.008590504362410222
S162,0.02368180652143931,0.04683801851104779,0.05014490753338975,0.04035498464461535,9.807762110607941e-05,1.2956021735218113e-05,0.004641894796741698
S164,0.08642588570774766,0.2463894016287822,0.01477855131296231,0.22785814071151042,0.0007322786789192266,0.00635203841090711,0.022444903503404678
S165,0.036949980667881084,0.08529936616071024,0.014165062285522188,0.10834852420843048,0.0007189496756601855,0.002012858367815076,0.01115512330914834
S166,0.07081126852024802,0.20664006793857306,0.013378296710384888,0.19321739983180783,0.00044200498455139605,0.0056363063281281035,0.005553535328042838
S167,0.15369370588939582,0.4572038214055974,0.30756949097480546,0.002058956403097847,0.13422873095784005,0.00185285317153224,0.01924838242350194
S169,0.0856539098317976,0.22887784515964188,0.23366853212738142,0.03153807000411181,0.0120863955817154,0.0010243877186359648,0.0067282283992990514
S17,0.0003216947318904615,0.0008506853424028843,0.00021644321602271109,0.0006678960810172901,8.601700132375298e-09,8.203340645129397e-07,0.00019431481613523856
S172,0.16021752311541265,0.3651109050257993,0.08790876715425101,0.43334603038475483,0.005465886962224812,0.028043802334564705,0.041429746830881325
S173,0.036795936179529226,0.049904659177571344,0.07413648463457284,0.0790419214792861,0.0013124586170918833,0.00022602826643738504,0.016154064902215787
S174,0.011073610805282852,0.023346127214587304,0.020971823171418363,0.004904642502311093,0.0005935406244819174,0.00019043258787923963,0.016435098731019185
S175,0.017632130091353435,0.04901822589378426,0.009425522885456294,0.04463278765366614,2.672959346927197e-05,1.6749490990606803e-05,0.0026727650307540375
S176,0.030558791882983355,0.03520790351467056,0.05939121105909243,0.06382429227774475,0.012802943684582154,0.0028627708855565146,0.009263629876253732
S18,0.01124345817313948,0.021427552345949216,0.006128419049010353,0.021309076090966873,0.008747711780572057,0.0038527279481393984,0.005995261824198974
