stone_id,mean_std_per_class,std_CaOx,std_CaP,std_UA,std_MAP,std_CYS
S184,0.0402329686649953,0.08651588905610963,0.09505034177775123,0.009981717673478238,0.002337789727032903,0.007279105090604473
S185,0.0027583595358922483,0.006639713547760523,0.0007049082457937076,0.006418887703578724,1.6922695202139163e-06,2.659591280807317e-05
S186,0.014995935713593913,0.02167708658917521,0.025663735446964518,0.015924454816095723,0.0041259162281488855,0.007588485487585225
S187,0.03747666012969676,0.09002692597020302,0.06495930072564633,0.007323849848042711,0.013388957808075155,0.011684266296516607
S188,0.10033560106049451,0.23069565982336077,0.1572191778577947,0.06436474947962902,0.020035138011975467,0.029363280129712614
S189,0.11390008135598088,0.13492520355455512,0.18461646760267697,0.1630204410843368,0.05743177275188237,0.029506521786453216
S19,0.08567684239288295,0.20513143012878693,0.09647291192839944,0.0172950531851341,0.03004856715444166,0.07943624956765266
S190,0.05665436413368584,0.14034879162866482,0.042398142626633446,0.06351826813162717,0.009366356261986508,0.027640262019517223
S192,0.03775478788432265,0.018457572757284137,0.07311547106449977,0.04569345682683272,0.014612121614290105,0.03689531715870654
S193,0.025383284414157714,0.04171935112349923,0.03527659942568521,0.01742242518092264,0.01320340721226693,0.01929463912841457
S194,0.12970362346747097,0.010701476550887323,0.20838969249735864,0.3049518822160738,0.11452958105914168,0.009945485013893465
S195,0.033552839899593935,0.009729626923850826,0.07934532505405831,0.025551091200566946,0.04520678503063153,0.007931371288862078
S197,0.1001535699333719,0.01171764656615386,0.03595209542152465,0.21370459972038003,0.006829470308806454,0.2325640376499946
S198,0.07249266190922339,0.007706406906113132,0.017434331627265306,0.16244191481706302,0.003401653087943262,0.17147900310773223
S199,0.058054659096898685,0.0066029406349326575,0.023747124110710213,0.1140973037754984,0.004437772186391471,0.14138815477696073
S20,0.036708961283517486,0.02587466771085947,0.07505172277275057,0.0183501583519971,0.03069366335589626,0.03357459422608401
S200,0.03666699436555591,0.08875813454279066,0.08746430212348234,0.006570309863913196,0.00038039582037410557,0.00016182947721927346
S201,0.07211245526803194,0.14616587948783236,0.16501526149786877,0.0408971043487241,0.005133680580134023,0.003350350425600396
S202,0.06815872297442907,0.1397353780653606,0.1690638144109929,0.01635407847328191,0.002233124356243281,0.01340721956626666
S203,0.05027310372877747,0.06572151241825194,0.040723584060463225,0.060282961850685976,0.006148106544425987,0.07848935377006022
S205,0.08707646641415498,0.17234957039656962,0.08762754908336141,0.09559061994293751,0.022130922863499398,0.05768366978440704
S208,0.031406176529549704,0.02877469171957214,0.04534594235647382,0.03163925344869099,0.04202777349744325,0.009243221625568301
S209,0.13773541804133654,0.3245830478496107,0.25885133801969284,0.02540535332301673,0.07015426192517218,0.00968308908919022
S21,0.048469682619579,0.11770696922178689,0.06108075298404665,0.004297554880511726,0.019393100773728366,0.03987003523782135
S210,0.03278993492203129,0.022177882133502504,0.058309347954784894,0.0234945459435718,0.043504247281536276,0.016463651296760962
S211,0.05871244456605949,0.09293533798096128,0.08006627603491266,0.06286435013364303,0.017236056500591873,0.04046020218018864
S212,0.10642811708264718,0.03193979178007148,0.0062685386721822054,0.2290635265567375,0.00034678969692800995,0.2645219387073167
S213,0.04300849937485651,0.004080275749124368,0.03427128153324656,0.06728076934594006,0.0022079639331678406,0.10720220631280375
S215,0.15904959822583797,0.32375051486397893,0.08150036147075,0.354887817222323,0.0014330236320401152,0.03367627394009776
S217,0.21798022839755782,0.25080031021238075,0.04630836866070926,0.2729264218371035,0.0020698021956271546,0.5177962390819685
S218,0.04471839565048139,0.06568473182798293,0.10595654572732632,0.03310318366481278,0.012760075871053862,0.006087441161231069
S219,0.06504110828538526,0.06719733699009436,0.16129769982064632,0.02708052927766396,0.057933134443755106,0.011696840894766528
S22,0.02850963336273018,0.0708830336916051,0.031243686234841018,0.026477569590422717,0.006680084137788654,0.0072637931589934115
S220,0.09116914990487554,0.09325326241418046,0.17504742972906712,0.15207130032783372,0.020710769650377457,0.014762987402918955
S221,0.05823209379744885,0.14542306238050634,0.0329275162246012,0.09184426215929056,0.0026857495040609335,0.018279878718785194
S222,0.0323141554821168,0.0775129179576903,0.022014521429407505,0.018605697275797355,0.014335732613026871,0.029101908134661986
S223,0.07035379666169748,0.13054869851419282,0.16235584608798162,0.047277794748029185,0.00701011499148198,0.0045765289668019
S224,0.037092770213851746,0.09226069511006757,0.07950081227082859,0.00695358334863354,0.004090556391050621,0.002658203948678385
S225,0.10586578788457379,0.2620284772850049,0.16771157339542944,0.03996535270061097,0.053354374082296575,0.006269161959527107
S226,0.08639970567173878,0.2155146119882001,0.20753251595026057,0.005902555382679466,0.00260552760379564,0.00044331743375814923
S227,0.06328930996073784,0.15817783327722917,0.14148363090870783,0.010595291936636515,0.003884776813781457,0.0023050168673342275
S23,0.017985332715416524,0.04492231329120136,0.015125888277861885,0.018465456787550853,0.0014100763618287114,0.010002928858639813
S231,0.11350703905643807,0.1058311768858095,0.18067850091073834,0.24895165588230816,0.015257760737921981,0.016816100865412336
S232,0.10186049882792134,0.24680431573478367,0.22575253469272633,0.028308997390878998,0.007688527214631646,0.000748119106586157
S234,0.13460265775349115,0.2772098656694541,0.13769873007989072,0.254029903626802,0.0026166148912998666,0.001458174500009052
S235,0.057221189400243753,0.09448379637462953,0.14170612196792987,0.048143199375631954,0.0009963745360946556,0.0007764547469327477
S238,0.04566312861393314,0.038816717015359915,0.10795371208590773,0.05408405556929712,0.004196397492458735,0.02326476090664216
S239,0.12795197652693222,0.25147753687620106,0.040150481101144116,0.17710817949306207,0.0015054317149153142,0.16951825344933855
S24,0.04202195807393501,0.1044251017388511,0.04674259731128081,0.04395210414875572,0.008400085009813754,0.006589902160973627
S241,0.1429474685915545,0.30256172561376454,0.3061180499323698,0.06849583079088364,0.025001566907719524,0.01256016971303497
S247,0.08321573366560005,0.0742869014021127,0.17023318336691257,0.15573673925946513,0.008283314484175014,0.007538529815334843
S248,0.16073352437275468,0.38252888683603914,0.37065423267742476,0.013955647427048341,0.02121444843047103,0.015314406492790039
S25,0.04009603370073804,0.04397165609168634,0.07610134781650546,0.021644152089081527,0.04996311301350349,0.00879989949291336
S250,0.08971154403650693,0.21246930163140593,0.11339897107922713,0.04352704689748339,0.06351075451185477,0.01565164606256343
S252,0.06385063359947016,0.018669406687243355,0.12280907912181997,0.03216506367356268,0.01029908352106278,0.13531053499366197
S253,0.0487050575185901,0.018687577094162973,0.06644882891194051,0.05111156924111662,0.039727657682632665,0.06754965466309774
S254,0.10328501456663816,0.25420798783780874,0.21455391192379886,0.021886741418350873,0.012664213829980253,0.013112217823252094
S255,0.08020631751140993,0.1983937721886175,0.14535171864063995,0.03436040325539494,0.007943421694682436,0.014982271777714877
S256,0.10438572873123375,0.23392891179300207,0.1747521638585344,0.07981449137414959,0.02469104895494139,0.00874202767554128
S257,0.05239298251707022,0.09415741080651527,0.11941073315536474,0.04423375275341854,0.0031338242638511153,0.001029191606201464
S258,0.050093353046228674,0.1246492966251424,0.011656770172757893,0.08562992611200235,0.007513123614226747,0.02101764870701399
