stone_id,mean_std_per_class,std_CaOx,std_CHP,std_UA,std_MAP,std_CYS
S197,0.18779203975885272,0.00566031419738477,0.2187090576054917,0.20446075926528623,0.04106516880826785,0.4690648989178331
S198,0.1473715612993224,0.005997102662248379,0.2946193668504691,0.03297060118397813,0.035204767463960326,0.36806596833595606
S201,0.04235567508703017,0.10440039516057222,0.0804083534022224,0.023324481439622888,0.002340197897999649,0.0013049475347336804
S203,0.11202404394829538,0.2513374360261684,0.0377118038963762,0.08384740996450961,0.005367622672972232,0.18185594718145037
S205,0.18880816209886744,0.39707348742452475,0.18997503067908,0.157255983221168,0.01576568454467244,0.18397062462489205
S208,0.058580127166458204,0.10196849146228415,0.1262309653733555,0.04206273961075163,0.020924938547588003,0.0017135008383117644
S215,0.13854771234362306,0.34565961078019813,0.250837659348194,0.07600449019543977,0.015302419685754914,0.004934381708528414
S22,0.06579611034017473,0.15732271131165496,0.09987300599113764,0.0055571402671436175,0.0644413864249817,0.0017863077059557162
S223,0.07414950799892933,0.16750503435262928,0.023647787130803764,0.16888150875002284,0.008271606808297966,0.002441602952892804
S229,0.21839277719393202,0.518941059485165,0.4118553736303422,0.07319599160366311,0.07989955656302136,0.008071904687468339
S233,0.12201693335084003,0.2895502822265697,0.15607801018536785,0.05978035275643752,0.005368964676786153,0.09930705690903882
S243,0.06479651482238413,0.05946748262424296,0.08333988094360778,0.06687872352936859,0.019415014194818152,0.09488147281988323
S244,0.1368959865596987,0.17370905384924262,0.10607826127438126,0.22796885264584346,0.03109837688518616,0.1456253881438401
S259,0.03096135473313564,0.059261366172722485,0.01810789552204492,0.07484950450097341,0.0018893142710169116,0.0006986931989204615
S26,0.07909663340149924,0.09459262649748085,0.16971319489292738,0.10156602218075399,0.022431310434838255,0.007180013001495686
S266,0.0162078502173073,0.03614265123037795,0.01798101242898915,0.02272443799323641,0.000856710156739914,0.003334439277193078
S268,0.009081310875785915,0.02230307336650967,0.020086510454623317,0.0028547684009799126,9.36335094356616e-05,6.856864738101396e-05
S286,0.08285884948582335,0.11475556406884768,0.18455641899538933,0.09640120077445687,0.01363687701242482,0.004944186577998031
S29,0.05439260480804361,0.11235929484330655,0.06558157625540158,0.08932013770589514,0.003148480516206099,0.00155353471940874
S290,0.11606578514258906,0.08597350527949496,0.10093428738674294,0.1475954164152605,0.056511997530631505,0.1893137191008153
S291,0.1268053054630523,0.05226968768175609,0.029338760779321234,0.2360630256519723,2.061504895320699e-05,0.31633443815325857
S296,0.06753299457006666,0.13816096811676296,0.04803773561057046,0.031392829201440875,0.03689347389389398,0.08317996602766502
S297,0.05842148052727111,0.0008438449360428939,0.055523818840528906,0.11329275482222143,0.0013327058188507995,0.12111427821871151
S311,0.016345860041289743,0.009930147838960315,0.03400827397749805,0.005838179595279103,0.0291531099090883,0.002799588885622945
S319,0.04419214594671407,0.03323623875514292,0.03747630627352802,0.07307737131550757,0.07380562732138998,0.00336518606800185
S321,0.026875687785457136,0.060386226592494936,0.06310453213717049,0.006848740692520123,0.003066439426874844,0.0009725000782253126
S327,0.11331201105494264,0.1458573014836483,0.11335276625516671,0.09386393597942913,0.001354467289553481,0.2121315842669156
S33,0.04505920270333673,0.06620979335024092,0.051839597831756457,0.10314351477793901,0.0026551932351817982,0.0014479143215654707
S57,0.03304549836372281,0.0334019077934598,0.05823318195530076,0.004310881632456372,0.06879392407259477,0.00048759636480236033
S60,0.040374954265758274,0.1006715806093259,0.09647489270086546,0.002604510461726204,0.0011788246370593768,0.0009449629198143991
S67,0.08267389279910377,0.20217225326267985,0.12161249625068968,0.006263957371132607,0.02657890682844524,0.056741850282571435
S77,0.0865663054205482,0.06506516944097968,0.1018301976046252,0.14846693664889668,0.06215012708110904,0.05531909632713038
S8,0.11056486166251833,0.21402862657239,0.13040785889818496,0.03619257563549794,0.16457047285872278,0.007624774347795949
S82,0.11039821893716895,0.21987759049701242,0.1833921928768851,0.088452398876966,0.025580212977171373,0.034688699457809814
S87,0.09694499638338458,0.16425513848870757,0.126723844543409,0.08783284656514706,0.10010078527998556,0.005812367039673768
S89,0.031036221408390456,0.07401889615402338,0.07508228125779512,0.004333807361293388,0.0011533778077156042,0.0005927444611248225
